1482,7595,7181,7058,6801,6665,6388,6258,6000,5757,5444,5098,4975,4759,4453,4174,3965,3572,3284,2902,2699,2222,1894,1571,1003,652,0,573,1172,1793,1939,2619,2989,3268,3699,3887,4110,4365,4569,4728,5223,5929,6427,6734,7040,7802,8014,8509,8664,9169,9473,9668,9900,10146,10461,10597,10974,11228,11598,11785,13220,13645,14370,14922,15322,15893,16218,16558,17045,17203,17559,17991,18221,18449,18799,19027,19197,19403,19750,19992,20315,20527,20703
1292,8168,7754,7631,7374,7238,6961,6831,6573,6330,6017,5671,5548,5332,5026,4747,4538,4145,3857,3475,3272,2795,2467,2144,1576,1225,573,0,599,1220,1366,2046,2416,2695,3126,3314,3537,3792,3996,4155,4650,5356,5854,6161,6467,7229,7441,7936,8091,8596,8900,9095,9327,9573,9888,10024,10401,10655,11025,11212,12647,13072,13797,14349,14749,15320,15645,15985,16472,16630,16986,17418,17648,17876,18226,18454,18624,18830,19177,19419,19742,19954,20130
1293,8767,8353,8230,7973,7837,7560,7430,7172,6929,6616,6270,6147,5931,5625,5346,5137,4744,4456,4074,3871,3394,3066,2743,2175,1824,1172,599,0,621,767,1447,1817,2096,2527,2715,2938,3193,3397,3556,4051,4757,5255,5562,5868,6630,6842,7337,7492,7997,8301,8496,8728,8974,9289,9425,9802,10056,10426,10613,12048,12473,13198,13750,14150,14721,15046,15386,15873,16031,16387,16819,17049,17277,17627,17855,18025,18231,18578,18820,19143,19355,19531
1222,8489,8974,8851,8594,8458,8181,8051,7793,7550,7237,6891,6768,6552,6246,5967,5758,5365,5077,4695,4492,4015,3687,3364,2796,2445,1793,1220,621,0,146,826,1196,1475,1906,2094,2317,2572,2776,2935,3430,4136,4634,4941,5247,4692,4480,3985,3830,3325,3021,2826,2594,2348,2033,1897,1520,1266,896,709,726,1151,1876,2428,2828,3399,3724,4064,4551,4709,5065,5497,5727,5955,6305,6533,6703,6909,7256,7498,7821,8033,8209
1223,8343,9120,8997,8740,8604,8327,8197,7939,7696,7383,7037,6914,6698,6392,6113,5904,5511,5223,4841,4638,4161,3833,3510,2942,2591,1939,1366,767,146,0,680,1050,1329,1760,1948,2171,2426,2630,2789,3284,3990,4488,4795,5101,4838,4626,4131,3976,3471,3167,2972,2740,2494,2179,2043,1666,1412,1042,855,580,1005,1730,2282,2682,3253,3578,3918,4405,4563,4919,5351,5581,5809,6159,6387,6557,6763,7110,7352,7675,7887,8063
1294,10214,9800,9677,9420,9284,9007,8877,8619,8376,8063,7717,7594,7378,7072,6793,6584,6191,5903,5521,5318,4841,4513,4190,3622,3271,2619,2046,1447,826,680,0,370,649,1080,1268,1491,1746,1950,2109,2604,3310,3808,4115,4421,5183,5395,5890,6045,6550,6854,7049,7281,7527,7842,7978,8355,8609,8979,9166,10601,11026,11751,12303,12703,13274,13599,13939,14426,14584,14940,15372,15602,15830,16180,16408,16578,16784,17131,17373,17696,17908,18084
1483,10584,10170,10047,9790,9654,9377,9247,8989,8746,8433,8087,7964,7748,7442,7163,6954,6561,6273,5891,5688,5211,4883,4560,3992,3641,2989,2416,1817,1196,1050,370,0,279,710,898,1121,1376,1580,1739,2234,2940,3438,3745,4051,4813,5025,5520,5675,6180,6484,6679,6911,7157,7472,7608,7985,8239,8609,8796,10231,10656,11381,11933,12333,12904,13229,13569,14056,14214,14570,15002,15232,15460,15810,16038,16208,16414,16761,17003,17326,17538,17714
1484,10863,10449,10326,10069,9933,9656,9526,9268,9025,8712,8366,8243,8027,7721,7442,7233,6840,6552,6170,5967,5490,5162,4839,4271,3920,3268,2695,2096,1475,1329,649,279,0,431,619,842,1097,1301,1460,1955,2661,3159,3466,3772,4534,4746,5241,5396,5901,6205,6400,6632,6878,7193,7329,7706,7960,8330,8517,9952,10377,11102,11654,12054,12625,12950,13290,13777,13935,14291,14723,14953,15181,15531,15759,15929,16135,16482,16724,17047,17259,17435
1485,11294,10880,10757,10500,10364,10087,9957,9699,9456,9143,8797,8674,8458,8152,7873,7664,7271,6983,6601,6398,5921,5593,5270,4702,4351,3699,3126,2527,1906,1760,1080,710,431,0,188,411,666,870,1029,1524,2230,2728,3035,3341,4103,4315,4810,4965,5470,5774,5969,6201,6447,6762,6898,7275,7529,7899,8086,9521,9946,10671,11223,11623,12194,12519,12859,13346,13504,13860,14292,14522,14750,15100,15328,15498,15704,16051,16293,16616,16828,17004
1486,11482,11068,10945,10688,10552,10275,10145,9887,9644,9331,8985,8862,8646,8340,8061,7852,7459,7171,6789,6586,6109,5781,5458,4890,4539,3887,3314,2715,2094,1948,1268,898,619,188,0,223,478,682,841,1336,2042,2540,2847,3153,3915,4127,4622,4777,5282,5586,5781,6013,6259,6574,6710,7087,7341,7711,7898,9333,9758,10483,11035,11435,12006,12331,12671,13158,13316,13672,14104,14334,14562,14912,15140,15310,15516,15863,16105,16428,16640,16816
